as_kick_scale_true,tox_persist_true,tox_trigger_belief,as_kick_scale,tox_persist_model,AlwaysMarket_mean,AlwaysMarket_p90,AlwaysMarket_fill_rate,ToxicityAware_mean,ToxicityAware_p90,ToxicityAware_fill_rate,delta_mean,delta_p90,delta_fill_rate,n_seeds
0.0,0.6,0.5,0.0,0.5,0.008381767350246037,0.06035536940914455,nan,-0.01462739842205707,0.11943400637358081,nan,-0.02300916577230311,0.059078636964436264,nan,50.0
0.0,0.6,0.6,0.0,0.6,0.008381767350246037,0.06035536940914455,nan,0.013996239311480564,0.13186395751029353,nan,0.005614471961234527,0.07150858810114899,nan,50.0
0.0,0.6,0.7,0.0,0.7,0.008381767350246037,0.06035536940914455,nan,0.011819199458645074,0.12582083897051463,nan,0.003437432108399037,0.06546546956137009,nan,50.0
0.0,0.6,0.8,0.0,0.8,0.008381767350246037,0.06035536940914455,nan,0.011819197997087371,0.12582083897051463,nan,0.003437430646841334,0.06546546956137009,nan,50.0
0.0,0.75,0.5,0.0,0.5,0.008410502915953657,0.0603336253958446,nan,-0.008330408277321056,0.1384870096323084,nan,-0.016740911193274713,0.07815338423646379,nan,50.0
0.0,0.75,0.6,0.0,0.6,0.008410502915953657,0.0603336253958446,nan,0.015705115397857128,0.132146820700126,nan,0.007294612481903471,0.0718131953042814,nan,50.0
0.0,0.75,0.7,0.0,0.7,0.008410502915953657,0.0603336253958446,nan,0.011778190211919367,0.1256589401345025,nan,0.0033676872959657097,0.06532531473865788,nan,50.0
0.0,0.75,0.8,0.0,0.8,0.008410502915953657,0.0603336253958446,nan,0.011790723959942682,0.12565888182651436,nan,0.003380221043989025,0.06532525643066975,nan,50.0
0.0,0.85,0.5,0.0,0.5,0.008429659959756747,0.06031912938698128,nan,0.0016952584284837258,0.12218005800684609,nan,-0.006734401531273021,0.06186092861986481,nan,50.0
0.0,0.85,0.6,0.0,0.6,0.008429659959756747,0.06031912938698128,nan,0.014866785434960547,0.12405843414203589,nan,0.0064371254752038,0.06373930475505461,nan,50.0
0.0,0.85,0.7,0.0,0.7,0.008429659959756747,0.06031912938698128,nan,0.012363196977631788,0.12565261740399336,nan,0.003933537017875041,0.06533348801701208,nan,50.0
0.0,0.85,0.8,0.0,0.8,0.008429659959756747,0.06031912938698128,nan,0.011772916428554367,0.12565251936967742,nan,0.00334325646879762,0.06533338998269614,nan,50.0
0.0,0.95,0.5,0.0,0.5,0.00844881700356126,0.0603046333781066,nan,0.009020197609754916,0.14893234924123677,nan,0.0005713806061936558,0.08862771586313017,nan,50.0
0.0,0.95,0.6,0.0,0.6,0.00844881700356126,0.0603046333781066,nan,0.012919341087720113,0.12456868202868067,nan,0.0044705240841588535,0.06426404865057407,nan,50.0
0.0,0.95,0.7,0.0,0.7,0.00844881700356126,0.0603046333781066,nan,0.012119151803215971,0.1259640239519044,nan,0.0036703347996547113,0.0656593905737978,nan,50.0
0.0,0.95,0.8,0.0,0.8,0.00844881700356126,0.0603046333781066,nan,0.011791630228464953,0.12585899436702164,nan,0.003342813224903693,0.06555436098891504,nan,50.0
0.01,0.6,0.5,0.01,0.5,0.008381767350246037,0.06035536940914455,nan,-0.00764555896362566,0.12375665446447784,nan,-0.016027326313871697,0.0634012850553333,nan,50.0
0.01,0.6,0.6,0.01,0.6,0.008381767350246037,0.06035536940914455,nan,0.020613108376179242,0.13686209011672332,nan,0.012231341025933205,0.07650672070757877,nan,50.0
0.01,0.6,0.7,0.01,0.7,0.008381767350246037,0.06035536940914455,nan,0.018507381536632863,0.13308161192958465,nan,0.010125614186386826,0.0727262425204401,nan,50.0
0.01,0.6,0.8,0.01,0.8,0.008381767350246037,0.06035536940914455,nan,0.018507380668604297,0.13308161192958465,nan,0.01012561331835826,0.0727262425204401,nan,50.0
0.01,0.75,0.5,0.01,0.5,0.008410502915953657,0.0603336253958446,nan,-0.0013263523808888066,0.1431102246966546,nan,-0.009736855296842463,0.08277659930081,nan,50.0
0.01,0.75,0.6,0.01,0.6,0.008410502915953657,0.0603336253958446,nan,0.022252635536447372,0.13411606667363288,nan,0.013842132620493715,0.07378244127778827,nan,50.0
0.01,0.75,0.7,0.01,0.7,0.008410502915953657,0.0603336253958446,nan,0.01843107114201928,0.13334698253542712,nan,0.010020568226065622,0.07301335713958251,nan,50.0
0.01,0.75,0.8,0.01,0.8,0.008410502915953657,0.0603336253958446,nan,0.01844382261988045,0.13334701732184726,nan,0.010033319703926794,0.07301339192600265,nan,50.0
0.01,0.85,0.5,0.01,0.5,0.008429659959756747,0.06031912938698128,nan,0.009079131588474353,0.1251619511238147,nan,0.0006494716287176062,0.06484282173683342,nan,50.0
0.01,0.85,0.6,0.01,0.6,0.008429659959756747,0.06031912938698128,nan,0.021110229482996203,0.12875281625794485,nan,0.012680569523239456,0.06843368687096357,nan,50.0
0.01,0.85,0.7,0.01,0.7,0.008429659959756747,0.06031912938698128,nan,0.019015815601652265,0.1336352697489076,nan,0.010586155641895518,0.07331614036192632,nan,50.0
0.01,0.85,0.8,0.01,0.8,0.008429659959756747,0.06031912938698128,nan,0.018429913012004705,0.13363533981871997,nan,0.010000253052247958,0.0733162104317387,nan,50.0
0.01,0.95,0.5,0.01,0.5,0.00844881700356126,0.0603046333781066,nan,0.01616689895569152,0.15520302259606497,nan,0.007718081952130262,0.09489838921795837,nan,50.0
0.01,0.95,0.6,0.01,0.6,0.00844881700356126,0.0603046333781066,nan,0.01893137942540733,0.1285932248210017,nan,0.01048256242184607,0.06828859144289509,nan,50.0
0.01,0.95,0.7,0.01,0.7,0.00844881700356126,0.0603046333781066,nan,0.0189388234967862,0.13405558168135628,nan,0.01049000649322494,0.07375094830324969,nan,50.0
0.01,0.95,0.8,0.01,0.8,0.00844881700356126,0.0603046333781066,nan,0.018498472203249322,0.13406306723328498,nan,0.010049655199688062,0.07375843385517838,nan,50.0
0.02,0.6,0.5,0.02,0.5,0.008381767350246037,0.06035536940914455,nan,-0.0006637195051933986,0.12514710762933987,nan,-0.009045486855439436,0.06479173822019532,nan,50.0
0.02,0.6,0.6,0.02,0.6,0.008381767350246037,0.06035536940914455,nan,0.027229977440876782,0.14054172158511877,nan,0.018848210090630743,0.08018635217597422,nan,50.0
0.02,0.6,0.7,0.02,0.7,0.008381767350246037,0.06035536940914455,nan,0.025195563614625202,0.13430296117203966,nan,0.016813796264379163,0.07394759176289512,nan,50.0
0.02,0.6,0.8,0.02,0.8,0.008381767350246037,0.06035536940914455,nan,0.025195563340126056,0.13430296117203966,nan,0.016813795989880018,0.07394759176289512,nan,50.0
0.02,0.75,0.5,0.02,0.5,0.008410502915953657,0.0603336253958446,nan,0.005677703515540031,0.14857828260624756,nan,-0.002732799400413626,0.08824465721040295,nan,50.0
0.02,0.75,0.6,0.02,0.6,0.008410502915953657,0.0603336253958446,nan,0.028800155675034772,0.13987816993999047,nan,0.020389652759081115,0.07954454454414586,nan,50.0
0.02,0.75,0.7,0.02,0.7,0.008410502915953657,0.0603336253958446,nan,0.02508395207211862,0.13455063403151543,nan,0.016673449156164963,0.07421700863567082,nan,50.0
0.02,0.75,0.8,0.02,0.8,0.008410502915953657,0.0603336253958446,nan,0.02509692127981367,0.13455122837622327,nan,0.016686418363860013,0.07421760298037866,nan,50.0
0.02,0.85,0.5,0.02,0.5,0.008429659959756747,0.06031912938698128,nan,0.01646300474846072,0.13325977959828067,nan,0.008033344788703973,0.07294065021129939,nan,50.0
0.02,0.85,0.6,0.02,0.6,0.008429659959756747,0.06031912938698128,nan,0.027353673531034985,0.1347839272495804,nan,0.018924013571278236,0.07446479786259913,nan,50.0
0.02,0.85,0.7,0.02,0.7,0.008429659959756747,0.06031912938698128,nan,0.025668434225673876,0.1348226270122666,nan,0.017238774265917127,0.07450349762528533,nan,50.0
0.02,0.85,0.8,0.02,0.8,0.008429659959756747,0.06031912938698128,nan,0.02508690959545561,0.1348232773747313,nan,0.01665724963569886,0.07450414798775001,nan,50.0
0.02,0.95,0.5,0.02,0.5,0.00844881700356126,0.0603046333781066,nan,0.023313600301621593,0.16122267255242947,nan,0.014864783298060333,0.10091803917432288,nan,50.0
0.02,0.95,0.6,0.02,0.6,0.00844881700356126,0.0603046333781066,nan,0.024943417763091988,0.13261776761335115,nan,0.016494600759530728,0.07231313423524455,nan,50.0
0.02,0.95,0.7,0.02,0.7,0.00844881700356126,0.0603046333781066,nan,0.025758495190352733,0.1352209506357326,nan,0.017309678186791473,0.07491631725762601,nan,50.0
0.02,0.95,0.8,0.02,0.8,0.00844881700356126,0.0603046333781066,nan,0.025205314178033688,0.1352285633392498,nan,0.016756497174472428,0.07492392996114319,nan,50.0
0.03,0.6,0.5,0.03,0.5,0.008381767350246037,0.06035536940914455,nan,0.006318119953238863,0.13308478264919046,nan,-0.0020636473970071737,0.07272941324004592,nan,50.0
0.03,0.6,0.6,0.03,0.6,0.008381767350246037,0.06035536940914455,nan,0.03384684650557261,0.1441330008965494,nan,0.025465079155326573,0.08377763148740486,nan,50.0
0.03,0.6,0.7,0.03,0.7,0.008381767350246037,0.06035536940914455,nan,0.03188374569260986,0.14099270627998522,nan,0.023501978342363825,0.08063733687084068,nan,50.0
0.03,0.6,0.8,0.03,0.8,0.008381767350246037,0.06035536940914455,nan,0.03188374601164099,0.14099270627998522,nan,0.023501978661394952,0.08063733687084068,nan,50.0
0.03,0.75,0.5,0.03,0.5,0.008410502915953657,0.0603336253958446,nan,0.012681759411971711,0.1540463405158789,nan,0.004271256496018054,0.09371271512003429,nan,50.0
0.03,0.75,0.6,0.03,0.6,0.008410502915953657,0.0603336253958446,nan,0.03534767581362445,0.1436763312949765,nan,0.02693717289767079,0.0833427058991319,nan,50.0
0.03,0.75,0.7,0.03,0.7,0.008410502915953657,0.0603336253958446,nan,0.031736833002216545,0.1404552828161826,nan,0.02332633008626289,0.080121657420338,nan,50.0
0.03,0.75,0.8,0.03,0.8,0.008410502915953657,0.0603336253958446,nan,0.03175001993974604,0.14045527799575694,nan,0.023339517023792385,0.08012165259991233,nan,50.0
0.03,0.85,0.5,0.03,0.5,0.008429659959756747,0.06031912938698128,nan,0.02384687790845078,0.1471192393437434,nan,0.015417217948694032,0.08680010995676213,nan,50.0
0.03,0.85,0.6,0.03,0.6,0.008429659959756747,0.06031912938698128,nan,0.03359711757907604,0.13959522525431822,nan,0.025167457619319294,0.07927609586733694,nan,50.0
0.03,0.85,0.7,0.03,0.7,0.008429659959756747,0.06031912938698128,nan,0.0323210528496972,0.13992312837984996,nan,0.023891392889940452,0.07960399899286869,nan,50.0
0.03,0.85,0.8,0.03,0.8,0.008429659959756747,0.06031912938698128,nan,0.03174390617890538,0.13992312438069376,nan,0.023314246219148634,0.07960399499371248,nan,50.0
0.03,0.95,0.5,0.03,0.5,0.00844881700356126,0.0603046333781066,nan,0.030460301647563595,0.17569796607754284,nan,0.022011484644002335,0.11539333269943625,nan,50.0
0.03,0.95,0.6,0.03,0.6,0.00844881700356126,0.0603046333781066,nan,0.030955456100775224,0.13688959593060446,nan,0.022506639097213964,0.07658496255249786,nan,50.0
0.03,0.95,0.7,0.03,0.7,0.00844881700356126,0.0603046333781066,nan,0.03257816688392268,0.13911897056077863,nan,0.024129349880361417,0.07881433718267203,nan,50.0
0.03,0.95,0.8,0.03,0.8,0.00844881700356126,0.0603046333781066,nan,0.03191215615281692,0.13911897025928538,nan,0.023463339149255663,0.07881433688117878,nan,50.0
0.05,0.6,0.5,0.05,0.5,0.008381767350246037,0.06035536940914455,nan,0.020281798870096564,0.15024385244761335,nan,0.011900031519850527,0.0898884830384688,nan,50.0
0.05,0.6,0.6,0.05,0.6,0.008381767350246037,0.06035536940914455,nan,0.04708058463496655,0.15757500953965578,nan,0.038698817284720514,0.09721964013051124,nan,50.0
0.05,0.6,0.7,0.05,0.7,0.008381767350246037,0.06035536940914455,nan,0.045260109848588,0.14901673353046477,nan,0.03687834249834196,0.08866136412132022,nan,50.0
0.05,0.6,0.8,0.05,0.8,0.008381767350246037,0.06035536940914455,nan,0.04526011135467826,0.14901673353046477,nan,0.03687834400443222,0.08866136412132022,nan,50.0
0.05,0.75,0.5,0.05,0.5,0.008410502915953657,0.0603336253958446,nan,0.026689871204836492,0.16693451286340774,nan,0.018279368288882835,0.10660088746756313,nan,50.0
0.05,0.75,0.6,0.05,0.6,0.008410502915953657,0.0603336253958446,nan,0.04844271609080408,0.15639082389690345,nan,0.04003221317485042,0.09605719850105884,nan,50.0
0.05,0.75,0.7,0.05,0.7,0.008410502915953657,0.0603336253958446,nan,0.04504259486241409,0.1482963933196615,nan,0.03663209194646043,0.08796276792381688,nan,50.0
0.05,0.75,0.8,0.05,0.8,0.008410502915953657,0.0603336253958446,nan,0.04505621725961646,0.14829639276691894,nan,0.0366457143436628,0.08796276737107434,nan,50.0
0.05,0.85,0.5,0.05,0.5,0.008429659959756747,0.06031912938698128,nan,0.038614624228422656,0.1719345571717625,nan,0.03018496426866591,0.11161542778478123,nan,50.0
0.05,0.85,0.6,0.05,0.6,0.008429659959756747,0.06031912938698128,nan,0.04608400567515673,0.1544030442457384,nan,0.03765434571539999,0.09408391485875711,nan,50.0
0.05,0.85,0.7,0.05,0.7,0.008429659959756747,0.06031912938698128,nan,0.04562629009774412,0.14767338106681366,nan,0.03719663013798737,0.08735425167983238,nan,50.0
0.05,0.85,0.8,0.05,0.8,0.008429659959756747,0.06031912938698128,nan,0.045057899345808894,0.14767338061443525,nan,0.03662823938605215,0.08735425122745397,nan,50.0
0.05,0.95,0.5,0.05,0.5,0.00844881700356126,0.0603046333781066,nan,0.0447537043394351,0.18235699124832794,nan,0.036304887335873844,0.12205235787022134,nan,50.0
0.05,0.95,0.6,0.05,0.6,0.00844881700356126,0.0603046333781066,nan,0.04297953277614454,0.1455071517837993,nan,0.03453071577258328,0.0852025184056927,nan,50.0
0.05,0.95,0.7,0.05,0.7,0.00844881700356126,0.0603046333781066,nan,0.04621751027106399,0.1464013484729307,nan,0.03776869326750273,0.08609671509482411,nan,50.0
0.05,0.95,0.8,0.05,0.8,0.00844881700356126,0.0603046333781066,nan,0.04532584010238679,0.14640134858440207,nan,0.03687702309882553,0.08609671520629547,nan,50.0
